id,title,authors,published_date,url,pdf
2503.20603v1,Idempotent Completion of Persistence Categories,John Miller,2025-03-26,http://arxiv.org/abs/2503.20603v1,http://arxiv.org/pdf/2503.20603v1
2503.20775v1,Structured Gaussians From Geometric Quantisation,Kerr Maxwell,2025-03-26,http://arxiv.org/abs/2503.20775v1,http://arxiv.org/pdf/2503.20775v1
2503.18750v1,Contact quasi-states and their applications,"Igor Uljarević, Jun Zhang",2025-03-24,http://arxiv.org/abs/2503.18750v1,http://arxiv.org/pdf/2503.18750v1
2503.17713v1,Higher genus Gromov-Witten invariants from projective bundles on smooth log Calabi-Yau pairs,Benjamin Zhou,2025-03-22,http://arxiv.org/abs/2503.17713v1,http://arxiv.org/pdf/2503.17713v1
2503.15791v2,Canonical torus action on symplectic singularities,"Yoshinori Namikawa, Yuji Odaka",2025-03-20,http://arxiv.org/abs/2503.15791v2,http://arxiv.org/pdf/2503.15791v2
2503.15933v2,"Almost mathematics, Persistence module, and Tamarkin category","Tatsuki Kuwagaki, Bingyu Zhang",2025-03-20,http://arxiv.org/abs/2503.15933v2,http://arxiv.org/pdf/2503.15933v2
2503.16231v1,Intrinsic Mirrors for Minimal Adjoint Orbit (ICM G&T 2022),Elizabeth Gasparim,2025-03-20,http://arxiv.org/abs/2503.16231v1,http://arxiv.org/pdf/2503.16231v1
2503.16250v1,Pinwheels in symplectic rational and ruled surfaces and non-squeezing of rational homology balls,"Nikolas Adaloglou, Johannes Hauber",2025-03-20,http://arxiv.org/abs/2503.16250v1,http://arxiv.org/pdf/2503.16250v1
2503.16657v1,Some contributions of Edoardo Ballico to Moduli spaces and their applications,Elizabeth Gasparim,2025-03-20,http://arxiv.org/abs/2503.16657v1,http://arxiv.org/pdf/2503.16657v1
2503.14961v2,Spectrally-large scale geometry via set-heaviness,"Qi Feng, Jun Zhang",2025-03-19,http://arxiv.org/abs/2503.14961v2,http://arxiv.org/pdf/2503.14961v2
2503.15363v1,"Nonlinear Grassmannians: plain, decorated, augmented","Stefan Haller, Cornelia Vizman",2025-03-19,http://arxiv.org/abs/2503.15363v1,http://arxiv.org/pdf/2503.15363v1
2503.14080v1,Explicit correspondences between gradient trees in $\mathbb{R}$ and holomorphic disks in $T^{*}\mathbb{R}$,Hidemasa Suzuki,2025-03-18,http://arxiv.org/abs/2503.14080v1,http://arxiv.org/pdf/2503.14080v1
2503.14441v1,Monodromy of Nikulin orbifolds,Giacomo Nanni,2025-03-18,http://arxiv.org/abs/2503.14441v1,http://arxiv.org/pdf/2503.14441v1
2503.13350v1,The mapping class group action on the odd character variety is faithful,"Aliakbar Daemi, Christopher Scaduto",2025-03-17,http://arxiv.org/abs/2503.13350v1,http://arxiv.org/pdf/2503.13350v1
2503.12901v1,On Mañé's critical value for the two-component Hunter-Saxton system and a infnite dimensional magnetic Hopf-Rinow theorem,Levin Maier,2025-03-17,http://arxiv.org/abs/2503.12901v1,http://arxiv.org/pdf/2503.12901v1
2503.12428v1,Constructions of symplectic surfaces in symplectic 4-manifolds with transversal intersections,"Vicente Muñoz, Juan Rojo",2025-03-16,http://arxiv.org/abs/2503.12428v1,http://arxiv.org/pdf/2503.12428v1
2503.11992v1,The degeneration of Calabi-Yau 3-folds via 3-forms and the SYZ conjecture,Teng Fei,2025-03-15,http://arxiv.org/abs/2503.11992v1,http://arxiv.org/pdf/2503.11992v1
2503.11137v1,Planar tropical caustics: trivalency and convexity,Mikhail Shkolnikov,2025-03-14,http://arxiv.org/abs/2503.11137v1,http://arxiv.org/pdf/2503.11137v1
2503.11171v1,The stochastic Hamilton-Jacobi-Bellman equation on Jacobi structures,"Pingyuan Wei, Qiao Huang, Jinqiao Duan",2025-03-14,http://arxiv.org/abs/2503.11171v1,http://arxiv.org/pdf/2503.11171v1
2503.11910v1,RTD-Lite: Scalable Topological Analysis for Comparing Weighted Graphs in Learning Tasks,"Eduard Tulchinskii, Daria Voronkova, Ilya Trofimov, Evgeny Burnaev, Serguei Barannikov",2025-03-14,http://arxiv.org/abs/2503.11910v1,http://arxiv.org/pdf/2503.11910v1
2503.10224v2,Fragmentation and Simplicity in Groups,"S. Tchuiaga, P. Bikorimana",2025-03-13,http://arxiv.org/abs/2503.10224v2,http://arxiv.org/pdf/2503.10224v2
2503.10283v1,Flux homomorphism and bilinear form constructed from Shelukhin's quasimorphism,"Morimichi Kawasaki, Mitsuaki Kimura, Shuhei Maruyama, Takahiro Matsushita, Masato Mimura",2025-03-13,http://arxiv.org/abs/2503.10283v1,http://arxiv.org/pdf/2503.10283v1
2503.10570v1,A Simple Description of the Hyperkähler Structure of the Cotangent Bundle of Projective Space via Quantization,Joshua Lackman,2025-03-13,http://arxiv.org/abs/2503.10570v1,http://arxiv.org/pdf/2503.10570v1
2503.10916v1,"Kontsevich graphs act on Nambu--Poisson brackets, IV. Resilience of the graph calculus in the dimensional shift $d\mapsto d+1$","Mollie S. Jagoe Brown, Arthemy V. Kiselev",2025-03-13,http://arxiv.org/abs/2503.10916v1,http://arxiv.org/pdf/2503.10916v1
2503.10926v1,"Kontsevich graphs act on Nambu--Poisson brackets, V. Implementation","Mollie S. Jagoe Brown, Arthemy V. Kiselev",2025-03-13,http://arxiv.org/abs/2503.10926v1,http://arxiv.org/pdf/2503.10926v1
2503.09783v1,"On arborealization, Maslov data, and lack thereof","Daniel Alvarez-Gavela, Tim Large, Abigail Ward",2025-03-12,http://arxiv.org/abs/2503.09783v1,http://arxiv.org/pdf/2503.09783v1
2503.09455v1,Non-extendablity of Shelukhin's quasimorphism and non-triviality of Reznikov's class,"Morimichi Kawasaki, Mitsuaki Kimura, Shuhei Maruyama, Takahiro Matsushita, Masato Mimura",2025-03-12,http://arxiv.org/abs/2503.09455v1,http://arxiv.org/pdf/2503.09455v1
2503.09209v1,Periodic orbits in time-dependent planar Stark-Zeeman systems,Urs Frauenfelder,2025-03-12,http://arxiv.org/abs/2503.09209v1,http://arxiv.org/pdf/2503.09209v1
